Date,cumulative_cases,new_cases_daily,infected_cases,cumulative_death,cumulative_recovered,removed,daily_removed,removed_1130
2020/11/30,1332,2,48,7,1277,1284,5,5
2020/12/1,1333,1,47,7,1279,1286,2,7
2020/12/2,1341,8,54,7,1280,1287,1,8
2020/12/3,1350,9,58,7,1285,1292,5,13
2020/12/4,1353,3,58,7,1288,1295,3,16
2020/12/5,1359,6,61,7,1291,1298,3,19
2020/12/6,1366,7,65,7,1294,1301,3,22
2020/12/7,1370,4,64,7,1299,1306,5,27
2020/12/8,1376,6,69,7,1300,1307,1,28
2020/12/9,1385,9,76,7,1302,1309,2,30
2020/12/10,1390,5,81,7,1302,1309,0,30
2020/12/11,1395,5,82,7,1306,1313,4,34
2020/12/12,1405,10,89,7,1309,1316,3,37
2020/12/13,1412,7,92,7,1313,1320,4,41
2020/12/14,1415,3,89,7,1319,1326,6,47
2020/12/15,1418,3,88,7,1323,1330,4,51
2020/12/16,1424,6,88,7,1329,1336,6,57
2020/12/17,1428,4,89,7,1332,1339,3,60
2020/12/18,1436,8,93,7,1336,1343,4,64
2020/12/19,1447,11,94,7,1346,1353,10,74
2020/12/20,1455,8,97,7,1351,1358,5,79
2020/12/21,1461,6,102,7,1352,1359,1,80
2020/12/22,1473,12,108,7,1358,1365,6,86
2020/12/23,1479,6,110,7,1362,1369,4,90
2020/12/24,1483,4,109,7,1367,1374,5,95
2020/12/25,1488,5,111,7,1370,1377,3,98
2020/12/26,1492,4,108,7,1377,1384,7,105
2020/12/27,1494,2,103,7,1384,1391,7,112
2020/12/28,1498,4,102,7,1389,1396,5,117
2020/12/29,1505,7,98,7,1400,1407,11,128
2020/12/30,1511,6,99,7,1405,1412,5,133
2020/12/31,1516,5,97,7,1412,1419,7,140
2021/1/1,1520,4,93,7,1420,1427,8,148
2021/1/2,1526,6,95,7,1424,1431,4,152
2021/1/3,1530,4,94,7,1429,1436,5,157
2021/1/4,1536,6,100,7,1429,1436,0,157
2021/1/5,1538,2,92,7,1439,1446,10,167
2021/1/6,1543,5,97,7,1439,1446,0,167
2021/1/7,1551,8,102,7,1442,1449,3,170
2021/1/8,1558,7,105,7,1446,1453,4,174
2021/1/9,1562,4,106,7,1449,1456,3,177
2021/1/10,1564,2,100,7,1457,1464,8,185
